Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Sugarbeet Growing Degree Days for planting date May 1 2023 (May 2 2023 to September 15 2023)
Flag Definition Line: M - Missing; E - Estimated
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Rainfall,Rainfall Flag,Sugarbeet Daily Growing Degree Days,Sugarbeet Daily Growing Degree Days Flag,Sugarbeet Accumulated Growing Degree Days,Sugarbeet Accumulated Growing Degree Days Flag,Sugarbeet Estimated Growth Stage
,deg,deg,ft,,,,Degrees F,,Degrees F,,inch,,Degrees F,,Degrees F,,
Alamo,48.54652,-103.47186,2157,2023,05,01,61.394,,27.149,,0.000,,,,,,Pltg. Date
Alamo,48.54652,-103.47186,2157,2023,05,02,72.518,,27.374,,0.000,,19,,19,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,03,78.890,,34.113,,0.000,,23,,42,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,04,76.694,,39.306,,0.000,,24,,66,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,05,65.966,,37.531,,0.000,,18,,84,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,06,64.652,,43.155,,0.000,,20,,104,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,07,62.042,,41.920,,0.000,,18,,122,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,08,63.536,,42.354,,0.244,,19,,141,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,09,70.178,,36.586,,0.012,,19,,160,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,10,75.506,,46.319,,0.000,,27,,187,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,11,72.986,,51.512,,0.520,,28,,215,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,12,54.968,,50.864,,0.969,,19,,234,,< v1.0
Alamo,48.54652,-103.47186,2157,2023,05,13,53.546,,49.550,,0.413,,18,,252,,v1.0
Alamo,48.54652,-103.47186,2157,2023,05,14,72.338,,46.814,,0.000,,26,,278,,v1.0
Alamo,48.54652,-103.47186,2157,2023,05,15,76.514,,45.037,,0.000,,27,,305,,v1.0
Alamo,48.54652,-103.47186,2157,2023,05,16,80.564,,45.023,,0.012,,29,,334,,v1.1
